,Clue,Answer,Explanation
0,"Introduction to Homer, or superb Roman poet",HORACE,"H + OR + ACE
"
1,"A crooner, fellow from an Oxfordshire town",ABINGDON,"A + BING + DON
"
2,Irritable old servants,LIVERY,"ddThis is one of the clues I struggled with, mainly because the word I’d use would be liverish. Perfectly fair though.
"
3,Awfully foul brew could make one flounce,FURBELOW,"anagram of FOUL BREW;
"
4,"Precise, short, theatre cleaner",SURGICAL SPIRIT,"Nice clue, with two definitions: of  ‘precise’, and ‘short’ in the alcoholic sense.
"
5,Itinerant Romanians in an Italian-speaking country,SAN MARINO,"anagram of ROMANIANS;
"
6,Card (king) Welshman rejected,KNAVE,"K + EVAN reversed
"
7,"A bye, perhaps, in over",EXTRA,dd
8,Accept compassion is to be encouraged,TAKE HEART,
9,"Two pianists, drunk",BRAHMS AND LISZT,"Which of course is Cockney rhyming slang for a word I couldn’t possibly elucidate for an audience as genteel as fifteensquared. Oh, all right then, it’s ‘pissed’.
"
10,Free wood used to make a stall,LOOSEBOX,"LOOSE + BOX
"
11,Guide by hand,MANUAL,dd
12,Anxiety shown by South American writers at closing of bookstore,SUSPENSE,"S + US + PENS + E
"
13,Small number on team backing inventor,EDISON,"NO SIDE reversed.
"
14,"Relative in his flares, bullied around start of term",HALF,"- SISTERanagram of HIS FLARES T;
"
15,Right above pirate ship,ROVER,"R + OVER
"
16,Company car is damaged making for a Mediterranean island,CORSICA,"CO + anagram of CAR IS;
"
17,OU sportsman keeping a woman of intelligence,BLUESTOCKING,"BLUE + STOCKING
"
18,"Beat writer, at first, with a club",NIBLICK,"NIB + LICK
"
19,"During an illness, almost over, trouble a spiritual leader",DALAI LAMA,"AIL in MALAD(Y) reversed plus A
"
20,Pond creature young toad initially turns into,NEWT,"NEW + T
"
21,Class points out what a theatre may put on,VARIETY SHOWS,"Charade of VARIETY (class) and SHOWS (points out)
"
22,Running on tenth lap in old Olympic event,PENTATHLON,"anagram of ON TENTH LAP; I think Everyman has inserted ‘old’ because the competition we have nowadays is called the ‘modern pentathlon’.
"
23,Hitchcock film noir – too darned American,NOTORIOUS,"anagram of NOIR TOO; + US
"
24,A grant secured by the sportsman,ATHLETE,"A + TH(LET)E
"
25,Rope with which Henry gets hauled up,HALYARD,"HAL + DRAY reversed
"
26,Problems housing 50 in wretched dwellings,SLUMS,"Insertion of L (50 in Roman numerals) in SUMS.
"
27,Additional matter written about learner driver,PLUS,"Another insertion, of L in PUS. Pus is matter, I suppose, although not a particularly pleasant one to contemplate on a Sunday morning …
"
28,WHISTLE-STOP,A,"charade of WHISTLES (catcalls) and TOP (kill), defining a trip with lots of short halts. Using “politician’s” seemed a bit random to me, unless I’m missing something."
29,OILCANS,A,n insertion of IL (one litre) and CAN (an example of a container) in OS (outsize). I didn’t fall in love with this construction; I think it’s a bit clunky and has a lot going on for a beginner-level puzzle.
30,RELAPSE,A,n anagram (suffering) of (E’S PALER)
31,TOWEL RAIL,A,n insertion of OWELR (LOWER) in TAIL (behind). The anagram indicator is “rough”.
32,IDEAL,A,"homophone of “I deal”, which is what a trader might say or assert."
33,NUMB,,“Company” is a synonym for “number” and two-thirds of that is “numb”. Hmmm.
34,PERPETUATE,A,n anagram (startled) of (UTTER A PEEP)
35,BANKRUPTCY,C,"arey Street, I learned today, is the London thoroughfare where the bankruptcy court used to be situated. This was a new one on me."
36,STEN,A,king (R) taken out of STERN.
37,ALLOW,A,charade of ALL (everyone) and OW! (that hurt). Lovely surface and a fine clue.
38,EBULLIENT,A,"n insertion (in) of BULLIE (briefly intimidated) in ENT. If you’re not already familiar with ENT as “hospital department”, now’s the time. “Ear, Nose and Throat”, and the department where doctors will give you the advice never to put anything in your ear that’s smaller than your elbow."
39,CANASTA,H,"idden in AmeriCAN A STAr. It’s a card game, but I don’t know much about it."
40,DOGGONE,A,"cd. The setter here isn’t Nutmeg, but the four-legged variety, who if he’d sadly snuffed it, would be gone. I presume the definition is “darned”, but I’m not sure what the asterisks are all about."
41,CONNECTICUT,A,charade of CONNECT (associate) I and CUT.
42,WELL-WOMAN CLINIC,A,n anagram (being treated) of (I L CALLOW MEN IN WC)
43,IN ALL,F,inally stripped of its outside letters.
44,TO SPARE,A,"n insertion of SPA in TORE. Rent here is the past tense of the verb to rend, to tear."
45,EAR-FLAP,A,n anagram (produced) of (RAF PLEA)
46,TALK INTO,TALKING TO,(a carpeting) without G for good.
47,PIPPED AT THE POST,A,cd.
48,ROOT AND BRANCH,A,charade of ROOT (a homophone (we’re told) of route) AND BRANCH (fork).
49,TELL ME ANOTHER,A,n anagram (working) of (ALLOTMENT HERE)
50,FROWNS ON,A,charade of FR (father) and OWN SON. “Supporting” works because it’s a down clue.
51,PRESAGE,A,"n insertion (carrying) of RE (on) and S (son) in PAGE (servant). I didn’t much like this one, because for me, “threaten” is not a good definition of “presage”."
52,COULDN’T,A,n insertion (held) of LD (first letters of locate dissident) in COUNT.
53,LOGIC,A,"n insertion of GI (serviceman) in LOC (reversal of COL, colonel). I wasn’t keen on “stabs” as the insertion indicator."
54,Do exercises in school,TRAIN,"A dd, with the ‘school’ part of the clue functioning as a verb, not a noun.
"
55,"Perform with copper and doctor, to a degree, in a sort of play",DOCUDRAMA,"A clearly signposted five-part charade to give us a shedload of starting letters for the downs: DO + CU + DR + A + MA.
"
56,"Use the least useful thing available, and fix the lot!",SCRAPE THE BARREL,"I did get this once I had a few crossing letters.  The first part of the clue is the definition (ish).  Then I parsed it as SCRAPE (fix as a noun) THE and BARREL (lots, as in a barrel of laughs).  I will, however, fess up to having to phone a friend to get this far*.  Not my favourite clue today, but it could just be me being a bit dim.
"
57,Earliest PM,PREMIER,"A dd.
"
58,Appear in disguise close to ancient balustrade,PARAPET,"**anagram of APPEAR; plus ancienT.
"
59,Swag in sack,LOOT,"A dd, helped by the fact that this word, like so many in English, can be both a verb and noun.
"
60,Saying there’s doubtful merit talking with skinhead,GREAT MINDS THINK ALIKE,"**anagram of MERIT TALKING SKINHEAD; Unless this is an attempt at an &lit (which I personally don’t think works), I’m not head over heels in love with this one. The surface is good, and the anagrind is clear once you’ve sussed it; but just to clue this as a ‘saying’ is pretty vague, in my opinion. What do others think?
"
61,Bird spotted in Leatherhead,RHEA,"To my shame, I needed the two crossing letters before I saw this: it’s hidden in LeatheRHEAd.
"
62,Little Bernard has line in flattery,BLARNEY,"An insertion of L (line) in BARNEY, the diminutive name for those called Bernard.
"
63,Ignored an untidy bleeder in resort,TURNED A BLIND EYE,"**anagram of AN UNTIDY BLEEDER; Brilliant surface, brilliant clue.
"
64,"Item on list, part of a shoe",HEELPIECE,"**Item (PIECE) on HEEL. Again playing on the noun/verb usage: here HEEL means to fall over or to ‘list’.
"
65,"Person beyond saving, individual imprisoned by King George",GONER,"An insertion of ONE in GR (George Rex). I’d only been reading in the Observer Review a short time before solving about the acclaimed new film about King George and his stammer. Oscars earwig-o, apparently.
"
66,High flier up for trial,TEST PILOT,"**A cd.
"
67,"Drop unresolved argument with side with a greater ego, possibly",AGREE TO DISAGREE,"**anagram of SIDE A GREATER EGO; Super anagram and clue.
"
68,"Serviette, sort mostly used after game",NAPKIN,"A charade of NAP and KIN (mostly KINd, sort). NAP is a card game, short for Napoleon.
"
69,"Put off, in crude terms",DETER,"Hidden in cruDE TERms.
"
70,"Inexpensive, flag of inferior quality",CHEAPJACK,"A charade of CHEAP and JACK, the flag. It had to be CHEAP, but beyond that I couldn’t see it; a dictionary trawl revealed the answer.  The SOED gives ‘shoddy, inferior’. A new one on me, but very clearly clued.
"
71,"Drawings of Mardi Gras, not right somehow",DIAGRAMS,"anagram of MA[R]DI GRAS; The R (right) is withdrawn from the fodder before making the anagram.
"
72,Very little indeed of what returning US astronauts may expect?,A DROP IN THE OCEAN,"**A cd. The ‘US’ element looks a bit superfluous, but I suppose that Everyman may be making a contrast with the Russian cosmonauts, who come to Earth over the remoter land masses of the country. Whatevs, a nice clue.
"
73,Earmark a tax to be raised,ALLOT,"A charade of A and TOLL reversed (raised, since this is a down clue).
"
74,Note amateur runs ahead of champion in track event,RELAY RACE,"**A lovely charade of RE (the second note of the tonic sol-fa, and a drop of golden sun for fans of *The Sound of Music*) LAY (amateur) R (runs) and ACE (champion).
"
75,Trivia is what one may get in the pub,SMALL BEER,"**A cd cum dd. While it’s a pretty familiar expression, I wasn’t sure of its origin, and a quick flirt online wasn’t much help apart from suggesting that it was a synonym for ‘weak beer’.
"
76,Shallow type involved in leak,SKIN,"-DEEP**Lovely construction: it’s KIND (type) inserted into SEEP (leak).
"
77,Urge small number to have good warming drink,EGGNOG,"**A charade of EGG (urge) NO (small number) and G for good. A mixture of cream, eggs, sugar and a spirit of your choice, and especially popular in North America during winter celebrations.
"
78,Clubs in English city making a collection,BATCH,"An insertion of C for clubs (as in cards) in the beautiful spa city of BATH.
"
79,Poet may show anger about ending in limerick,RILKE,"An insertion of K (ending in limerick) in RILE. No, I hadn’t either. A Bohemian-Austrian poet who died in 1926.  His haunting images focus on the difficulty of communion with the ineffable in an age of disbelief, solitude and profound anxiety: themes that tend to position him as a transitional figure between the traditional and modern poets, since you ask. 
"
80,PARTHENON,A,nice charade of PAR (RAP reversed or back) THEN (previously) and ON (about). Someone who knows more about Classics than I do will give you chapter and verse on the structure. 
81,WAIST,A,n anagram (about) of (WAS IT)
82,LAPTOPS,A,"charade of L (learner, beginner) APT and OPS (works). OP is an abbreviation of opus, the musical work, and is very common in crosswordland."
83,OCTOBER,A,charade of OCT (of Celtic tradition first letters) and (ROBE). The anagrind is ‘new’.
84,SEIZE,A,"homophone of ‘sees’, or watches. ‘Reportedly’ is the homophone indicator. Are these two words homophones? You’ve reached the age of consent, so you decide."
85,MONOMANIA,A,"charade of MONO (single) MAN (guy) and IA (A1, excellent, reversed). A slightly unusual word, but clearly clued."
86,ELECTION ADDRESS,A,"charade of ELECTION (choice) and ADDRESS (location). Fine as far as the clue is concerned, but the enumeration is given as (15) and not (8,7) which meant that once I’d discovered that ELECTIONEERING didn’t fit, I was left scratching my head."
87,TREATISES,A,n anagram (‘broadcast’) of (E ARTISTES). ‘A spoken or written story or narrative’ (SOED).
88,CAMEL,A,charade of CAME and L for lake. I may have seen this once or twice before.
89,BOLIVAR,A,"charade of BO (body odour, personal problem) and (RIVAL). The currency of Venezuela."
90,WHATNOT,A,"n anagram of (THAT WON). The anagrind is ‘reappraisal’. ‘A stand with shelves, used for keeping or displaying small objects’ (SOED)"
91,BESET,A,"n inclusion of E (East, a quarter) in BEST."
92,OPALESCENT,I,liked this one. It’s a charade of O (love) PALE and SCENT.
93,GRAPHITE,M,oley has not produced a carbon-neutral crossword for us today. Here’s the second mention for the element with atomic number 6. It’s an anagram of (GREAT HIP).
94,CHOOSE,A,"charade of CH for church, OO (circles) and SE (south, east, two points of the compass)."
95,GNUS,A,pretty obvious anagram of (GUNS).
96,INSOMNIACS,A,n anagram of (CASINOS MIN). The anagrind is ‘fantastic’. Setters often use ‘mainly’ in this way to tell you that you need to lose the last letter of the word indicated; here MINE becomes MIN.
97,TWO-TIMED,A,"charade of TWO, TIME and D for died."
98,RIBBON,A,"charade of RIB and BON (BONE, trimmed of its last letter)."
99,STIR,H,idden in teST IRrational. ‘Some’ tells you to look for a hidden answer.
100,MOONSTRUCK,A,"charade of MOON, our satellite and STRUCK. ‘Deranged or mad’ (Collins). One of several words suggesting lunacy relating to the moon."
101,ABSOLUTION,A,charade of AB (Able-Bodied Sailor) and SOLUTION.
102,TITIVATE,G,"allery is almost always TATE. If you put it and IV (Roman numeral for 4) inside it, you have your answer. The clue is surrounded by square brackets. Does anyone have a notion why?"
103,EMMENTAL,I,"liked this clue a lot, especially for its smooth surface. It might be a bit of a stretch for a beginner though. It’s an anagram of (METAL). You’re then invited to ‘box (in)’ MEN or ‘workers’."
104,ENLIST,A,"charade of EN (East, North) and LIST. Plenty of compass points today."
105,CRAYON,A,charade of CRAY and ON.
106,BABY,A,"further charade of BA (graduate) and BY. Simple, but good."
107,WARP,A,"s you will have seen, the clue is ??? (4). Occasionally, you do get odd clues like this, but in a Quiptic? So brains were racked to no effect before sticking the crossing letters into a wordsearch, which suggested nothing likely. So I cheated, finished the puzzle and then said a really, really bad word about the Crossword Editor, because I can only imagine that this is down to him. ‘Edit. Bring into order for publication’ (SOED). But clearly not today."
108,THINKING,A,"charade of THIN (poor) and KING (ruler), and a witty start to the acrosses."
109,BRENDA,A,n insertion (covering) of END in BRA
110,GNAT,A,reversal (rejected) of TANG
111,CANDIDATES,I,needed some crossing letters to get this: it’s a charade of CAN (Canadian) DI (girl) and DATES (goes out with).
112,HAMMER,H,idden (stocked) in GrantHAM MERchant.
113,SMARTEST,A,ries is of course the star sign of the Ram; so Arians are Rams.  Reversing (returning) this gives us SMAR and adding TEST (exam) gives us the answer.
114,MONACO,A,n anagram of (O MAN) plus CO for company.  A really clever surface.
115,CEMENT,A,"charade of CE (Civil Engineer), MEN (labourers) and T (beginning to test).  Again, the surface reads very well."
116,SEASCAPE,M,"y last one to go in.  It’s another charade of S (Saint) and an insertion (in) of A (Augustine’s head) in ESCAPE, to flee."
117,TITIAN,T,"he famous painter is an insertion of I for island in TITAN, from Greek mythology.  Titans were members of a family of giants, the offspring of Uranus (Heaven) and Gaia (Earth).  They got into a bit of a spat with Zeus and came off second best.  That’ll learn ’em."
118,REVELATION,V,"ery clever: it’s a kind of cd, since if a clergyman was delighted, it would be a REV ELATION."
119,DOOR,I,"t’s a reversal (back) of ROOD. ‘A crucifix, especially one stationed above the middle of a rood screen’ (SOED).  I wonder if Holyrood Palace in Edinburgh is derived from this meaning?"
120,BEREFT,A,"n anagram of (FREE BT).  The anagrind is ‘deal’, in the sense of dealing out (and therefore changing the position of) cards."
121,FLOUNDER,A,dd.
122,PHANTASM,I,"couldn’t see this for ages, yet hidden answers are supposed to be the easiest to spot.  It’s tucked away in ElePHANT AS Mate, and this is indicated by the ‘of’.  A slightly unusual word, but since it’s staring you in the face, fair play."
123,KNIT,A,"charade of K for King, monarch, and NIT."
124,MINCER,A,n anagram of (CRIME) with N for new inserted.  The anagrind is ‘organised’ and the insertion indicator is ‘to steal’.
125,ABDICATE,A,charade of A (BID) CAT and E for Earl.  The anagrind is ‘suspect’.
